U/M,YearMonth,Year,Month,Qty,Sales Price,Field,Fertilizer
gal,2022-03,2022,3,140,6.16,REYES,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,150,6.16,DNW,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,160,6.16,JK,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,170,6.16,TERK,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,192.5,6.16,TERK,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,194,6.16,TERK,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,200,6.16,SP50,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,236,6.16,BRS-250,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,240,6.16,BRU-2A,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,260,6.16,505 SOUTH,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,260,6.16,DAF,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,324,6.16,GL-RANCH,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,360.3,6.16,TERK,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,365,6.16,KF,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,380,6.16,C & H 3,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,390,6.16,BI-1,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,420,6.16,ZUM,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-03,2022,3,675,2.36,DAF,STARTER FERTILIZER (STARTER FERTILIZER  05-07-03-.25Zn)
gal,2022-03,2022,3,1380,6.16,FI,FUSION 360 SOIL (FUSION 360 SOIL)
gal,2022-04,2022,4,1.75,19.9,MAZZ-HOME,FUSION IOTA (FUSION IOTA)
gal,2022-04,2022,4,2,19.9,WFP - DAWLEY,FUSION IOTA (FUSION IOTA)
gal,2022-04,2022,4,2.25,11.2,MCA,TOPHAT 9-0-0 (TOPHAT 9-0-0)
